Marca,Modelo,Motor,Componente,Mínimo,Máximo,Max_capacidade,Unidade
Opel,Crossland X,1.5 Diesel,Motor de Arranque (kW),1.4,1.4,3,kW
Opel,Grandland X,1.2 Turbo,Bateria (Ah),70,80,80,Ah
Opel,Grandland X,1.2 Turbo,Líquido de Arrefecimento (litros),6,8,10,L
Opel,Grandland X,1.2 Turbo,Óleo do Motor (litros),3.5,4,8,L
Opel,Grandland X,1.2 Turbo,Fluido de Travão (litros),0.6,0.9,1.2,L
Opel,Grandland X,1.2 Turbo,Fluido de Transmissão (litros),1.8,2.5,3,L
Opel,Grandland X,1.2 Turbo,Motor de Arranque (kW),1.3,1.3,3,kW
Opel,Grandland X,1.6 Hybrid,Bateria (Ah),70,80,80,Ah
Opel,Grandland X,1.6 Hybrid,Líquido de Arrefecimento (litros),6.5,8.5,10,L
Opel,Grandland X,1.6 Hybrid,Óleo do Motor (litros),4,4.5,8,L
Opel,Grandland X,1.6 Hybrid,Fluido de Travão (litros),0.7,1,1.2,L
Opel,Grandland X,1.6 Hybrid,Fluido de Transmissão (litros),2,2.5,3,L
Opel,Grandland X,1.6 Hybrid,Motor de Arranque (kW),1.6,1.6,3,kW
Opel,Astra J,1.4 Turbo,Bloco de Motor,85,105,120,C
Opel,Astra J,1.6 CDTi,Bloco de Motor,85,110,120,C
Opel,Astra J,2.0 CDTi,Bloco de Motor,85,110,120,C
Opel,Corsa E,1.2 Ecotec,Bloco de Motor,85,105,120,C
Opel,Corsa E,1.4 Ecotec,Bloco de Motor,85,110,120,C
Opel,Insignia B,1.5 Turbo,Bloco de Motor,85,105,120,C
Opel,Insignia B,2.0 CDTi,Bloco de Motor,85,110,120,C
Opel,Crossland X,1.2 Turbo,Bloco de Motor,85,105,120,C
Opel,Crossland X,1.5 Diesel,Bloco de Motor,85,110,120,C
Opel,Grandland X,1.2 Turbo,Bloco de Motor,85,105,120,C
Opel,Grandland X,1.6 Hybrid,Bloco de Motor,85,110,120,C
Peugeot,208 II,1.2 PureTech,Bloco de Motor,85,105,120,C
Peugeot,208 II,1.5 BlueHDi,Bloco de Motor,85,110,120,C
Peugeot,308 II,1.2 PureTech,Bloco de Motor,85,105,120,C
Peugeot,308 II,1.6 BlueHDi,Bloco de Motor,85,110,120,C
Peugeot,3008 II,1.6 PureTech,Bloco de Motor,85,105,120,C
Peugeot,3008 II,2.0 BlueHDi,Bloco de Motor,85,110,120,C
Peugeot,508 II,1.6 PureTech,Bloco de Motor,85,105,120,C
Peugeot,508 II,1.5 BlueHDi,Bloco de Motor,85,110,120,C
