Marca,Modelo,Motor,Componente,Mínimo,Máximo,Max_capacidade,Unidade
Opel,Corsa E,1.4 Ecotec,Motor de Arranque ,1.3,1.3,3,kW
Opel,Insignia B,1.5 Turbo,Bateria ,70,80,80,Ah
Opel,Insignia B,1.5 Turbo,Líquido de Arrefecimento ,7,9,10,Litros
Opel,Insignia B,1.5 Turbo,Óleo do Motor ,4.5,5,8,Litros
Opel,Insignia B,1.5 Turbo,Fluido de Travão ,0.7,1,1.2,Litros
Opel,Insignia B,1.5 Turbo,Fluido de Transmissão ,2,2.5,3,Litros
Opel,Insignia B,1.5 Turbo,Motor de Arranque ,1.5,1.5,3,kW
Opel,Insignia B,2.0 CDTi,Bateria ,75,85,85,Ah
Opel,Insignia B,2.0 CDTi,Líquido de Arrefecimento ,7.5,9.5,10,Litros
Opel,Insignia B,2.0 CDTi,Óleo do Motor ,5,5.5,8,Litros
Opel,Insignia B,2.0 CDTi,Fluido de Travão ,0.8,1,1.2,Litros
Opel,Insignia B,2.0 CDTi,Fluido de Transmissão ,2.2,2.8,3,Litros
Opel,Insignia B,2.0 CDTi,Motor de Arranque ,1.7,1.7,3,kW
Peugeot,208 II,1.2 PureTech,Bateria ,50,60,60,Ah
Peugeot,208 II,1.2 PureTech,Líquido de Arrefecimento ,6.5,8,10,Litros
Peugeot,208 II,1.2 PureTech,Óleo do Motor ,3.5,4,8,Litros
Peugeot,208 II,1.2 PureTech,Fluido de Travão ,0.5,0.8,1.2,Litros
Peugeot,208 II,1.2 PureTech,Fluido de Transmissão ,1.6,2.2,3,Litros
Peugeot,208 II,1.2 PureTech,Motor de Arranque ,1.2,1.2,3,kW
Peugeot,208 II,1.5 BlueHDi,Bateria ,55,65,65,Ah
Peugeot,208 II,1.5 BlueHDi,Líquido de Arrefecimento ,6.5,8.5,10,Litros
Peugeot,208 II,1.5 BlueHDi,Óleo do Motor ,4,4.5,8,Litros
Peugeot,208 II,1.5 BlueHDi,Fluido de Travão ,0.6,0.9,1.2,Litros
Peugeot,208 II,1.5 BlueHDi,Fluido de Transmissão ,1.8,2.4,3,Litros
Peugeot,208 II,1.5 BlueHDi,Motor de Arranque ,1.4,1.4,3,kW
Peugeot,308 II,1.2 PureTech,Bateria ,60,70,70,Ah
Peugeot,308 II,1.2 PureTech,Líquido de Arrefecimento ,6,8,10,Litros
Peugeot,308 II,1.2 PureTech,Óleo do Motor ,4,4.5,8,Litros
Peugeot,308 II,1.2 PureTech,Fluido de Travão ,0.6,0.9,1.2,Litros
Peugeot,308 II,1.2 PureTech,Fluido de Transmissão ,1.8,2.3,3,Litros
Peugeot,308 II,1.2 PureTech,Motor de Arranque ,1.3,1.3,3,kW
Peugeot,308 II,1.6 BlueHDi,Bateria ,65,75,75,Ah
Peugeot,308 II,1.6 BlueHDi,Líquido de Arrefecimento ,6.5,8.5,10,Litros
Peugeot,308 II,1.6 BlueHDi,Óleo do Motor ,4.5,5,8,Litros
Peugeot,308 II,1.6 BlueHDi,Fluido de Travão ,0.7,1,1.2,Litros
Peugeot,308 II,1.6 BlueHDi,Fluido de Transmissão ,2,2.5,3,Litros
Peugeot,308 II,1.6 BlueHDi,Motor de Arranque ,1.5,1.5,3,kW
Peugeot,3008 II,1.6 PureTech,Bateria ,70,80,80,Ah
Peugeot,3008 II,1.6 PureTech,Líquido de Arrefecimento ,7,9,10,Litros
Peugeot,3008 II,1.6 PureTech,Óleo do Motor ,4.5,5,8,Litros
Peugeot,3008 II,1.6 PureTech,Fluido de Travão ,0.7,1,1.2,Litros
Peugeot,3008 II,1.6 PureTech,Fluido de Transmissão ,2,2.5,3,Litros
Peugeot,3008 II,1.6 PureTech,Motor de Arranque ,1.6,1.6,3,kW
Peugeot,3008 II,2.0 BlueHDi,Bateria ,75,85,85,Ah
Peugeot,3008 II,2.0 BlueHDi,Líquido de Arrefecimento ,7.5,9.5,10,Litros
Peugeot,3008 II,2.0 BlueHDi,Óleo do Motor ,5,5.5,8,Litros
Peugeot,3008 II,2.0 BlueHDi,Fluido de Travão ,0.8,1,1.2,Litros
Peugeot,3008 II,2.0 BlueHDi,Fluido de Transmissão ,2.2,2.8,3,Litros
Peugeot,3008 II,2.0 BlueHDi,Motor de Arranque ,1.7,1.7,3,kW
Peugeot,508 II,1.6 PureTech,Bateria ,70,80,80,Ah
Peugeot,508 II,1.6 PureTech,Líquido de Arrefecimento ,7,9,10,Litros
Peugeot,508 II,1.6 PureTech,Óleo do Motor ,4.5,5,8,Litros
Peugeot,508 II,1.6 PureTech,Fluido de Travão ,0.7,1,1.2,Litros
Peugeot,508 II,1.6 PureTech,Fluido de Transmissão ,2,2.5,3,Litros
Peugeot,508 II,1.6 PureTech,Motor de Arranque ,1.6,1.6,3,kW
Peugeot,508 II,1.5 BlueHDi,Bateria ,75,85,85,Ah
Peugeot,508 II,1.5 BlueHDi,Líquido de Arrefecimento ,7.5,9.5,10,Litros
Peugeot,508 II,1.5 BlueHDi,Óleo do Motor ,5,5.5,8,Litros
Peugeot,508 II,1.5 BlueHDi,Fluido de Travão ,0.8,1,1.2,Litros
Peugeot,508 II,1.5 BlueHDi,Fluido de Transmissão ,2.2,2.8,3,Litros
Peugeot,508 II,1.5 BlueHDi,Motor de Arranque ,1.7,1.7,3,kW
Opel,Crossland X,1.2 Turbo,Bateria ,60,70,70,Ah
Opel,Crossland X,1.2 Turbo,Líquido de Arrefecimento ,6,8,10,Litros
Opel,Crossland X,1.2 Turbo,Óleo do Motor ,3.5,4,8,Litros
Opel,Crossland X,1.2 Turbo,Fluido de Travão ,0.6,0.9,1.2,Litros
Opel,Crossland X,1.2 Turbo,Fluido de Transmissão ,1.8,2.5,3,Litros
Opel,Crossland X,1.2 Turbo,Motor de Arranque ,1.3,1.3,3,kW
Opel,Crossland X,1.5 Diesel,Bateria ,65,75,75,Ah
Opel,Crossland X,1.5 Diesel,Líquido de Arrefecimento ,6.5,8.5,10,Litros
Opel,Crossland X,1.5 Diesel,Óleo do Motor ,4,4.5,8,Litros
Opel,Crossland X,1.5 Diesel,Fluido de Travão ,0.6,1,1.2,Litros
Opel,Crossland X,1.5 Diesel,Fluido de Transmissão ,2,2.5,3,Litros
Opel,Crossland X,1.5 Diesel,Motor de Arranque ,1.4,1.4,3,kW
Opel,Grandland X,1.2 Turbo,Bateria ,70,80,80,Ah
Opel,Grandland X,1.2 Turbo,Líquido de Arrefecimento ,6,8,10,Litros
Opel,Grandland X,1.2 Turbo,Óleo do Motor ,3.5,4,8,Litros
Opel,Grandland X,1.2 Turbo,Fluido de Travão ,0.6,0.9,1.2,Litros
Opel,Grandland X,1.2 Turbo,Fluido de Transmissão ,1.8,2.5,3,Litros
Opel,Grandland X,1.2 Turbo,Motor de Arranque ,1.3,1.3,3,kW
Opel,Grandland X,1.6 Hybrid,Bateria ,70,80,80,Ah
Opel,Grandland X,1.6 Hybrid,Líquido de Arrefecimento ,6.5,8.5,10,Litros
Opel,Grandland X,1.6 Hybrid,Óleo do Motor ,4,4.5,8,Litros
Opel,Grandland X,1.6 Hybrid,Fluido de Travão ,0.7,1,1.2,Litros
Opel,Grandland X,1.6 Hybrid,Fluido de Transmissão ,2,2.5,3,Litros
Opel,Grandland X,1.6 Hybrid,Motor de Arranque ,1.6,1.6,3,kW
Opel,Astra J,1.4 Turbo,Bloco de Motor,85,105,120,C
Opel,Astra J,1.6 CDTi,Bloco de Motor,85,110,120,C
Opel,Astra J,2.0 CDTi,Bloco de Motor,85,110,120,C
Opel,Corsa E,1.2 Ecotec,Bloco de Motor,85,105,120,C
Opel,Corsa E,1.4 Ecotec,Bloco de Motor,85,110,120,C
Opel,Insignia B,1.5 Turbo,Bloco de Motor,85,105,120,C
Opel,Insignia B,2.0 CDTi,Bloco de Motor,85,110,120,C
Opel,Crossland X,1.2 Turbo,Bloco de Motor,85,105,120,C
Opel,Crossland X,1.5 Diesel,Bloco de Motor,85,110,120,C
Opel,Grandland X,1.2 Turbo,Bloco de Motor,85,105,120,C
Opel,Grandland X,1.6 Hybrid,Bloco de Motor,85,110,120,C
Peugeot,208 II,1.2 PureTech,Bloco de Motor,85,105,120,C
Peugeot,208 II,1.5 BlueHDi,Bloco de Motor,85,110,120,C
Peugeot,308 II,1.2 PureTech,Bloco de Motor,85,105,120,C
Peugeot,308 II,1.6 BlueHDi,Bloco de Motor,85,110,120,C
Peugeot,3008 II,1.6 PureTech,Bloco de Motor,85,105,120,C
Peugeot,3008 II,2.0 BlueHDi,Bloco de Motor,85,110,120,C
Peugeot,508 II,1.6 PureTech,Bloco de Motor,85,105,120,C
Peugeot,508 II,1.5 BlueHDi,Bloco de Motor,85,110,120,C
